time,open,high,low,close
-3092609038,1.45,1.45,1.45,1.45
-2997914638,1.39,1.39,1.39,1.39
-2966205838,1.32,1.32,1.32,1.32
-2934756238,1.21,1.21,1.21,1.21
-2903220238,1.1,1.1,1.1,1.1
-2808353038,1.13,1.13,1.13,1.13
-2776903438,1.1,1.1,1.1,1.1
-2745453838,1.11,1.11,1.11,1.11
-2713917600,1.08,1.08,1.08,1.08
-2650759200,1.01,1.01,1.01,1.01
-2619050400,0.97,0.97,0.97,0.97
-2587600800,0.94,0.94,0.94,0.94
-2556064800,0.96,0.96,0.96,0.96
-2461456800,0.84,0.84,0.84,0.84
-2429748000,0.7,0.7,0.7,0.7
-2398298400,0.62,0.62,0.62,0.62
-2366762400,0.68,0.68,0.68,0.68
-2303604000,0.59,0.59,0.59,0.59
-2271895200,0.6,0.6,0.6,0.6
-2240445600,0.6,0.6,0.6,0.6
-2208996000,0.65,0.65,0.65,0.65
-2177460000,0.56,0.56,0.56,0.56
-2082852000,0.61,0.61,0.61,0.61
-2051143200,0.66,0.66,0.66,0.66
-2019693600,0.7,0.7,0.7,0.7
-1988157600,0.55,0.55,0.55,0.55
-1924999200,0.53,0.53,0.53,0.53
-1893290400,0.55,0.55,0.55,0.55
-1861840800,0.56,0.56,0.56,0.56
-1830391200,0.64,0.64,0.64,0.64
-1735696800,0.56,0.56,0.56,0.56
-1733018400,0.51,0.51,0.51,0.51
-1730599200,0.51,0.51,0.51,0.51
-1727920800,0.51,0.51,0.51,0.51
-1725156000,0.51,0.51,0.51,0.51
-1722650400,0.51,0.51,0.51,0.51
-1720058400,0.51,0.51,0.51,0.51
-1717293600,0.51,0.51,0.51,0.51
-1714701600,0.51,0.51,0.51,0.51
-1712109600,0.51,0.51,0.51,0.51
-1709431200,0.51,0.51,0.51,0.51
-1706839200,0.51,0.51,0.51,0.51
-1703988000,0.67,0.67,0.67,0.67
-1701482400,0.67,0.67,0.67,0.67
-1698976800,0.67,0.67,0.67,0.67
-1696125600,0.67,0.67,0.67,0.67
-1693706400,0.67,0.67,0.67,0.67
-1691028000,0.67,0.67,0.67,0.67
-1688263200,0.67,0.67,0.67,0.67
-1685757600,0.67,0.67,0.67,0.67
-1683079200,0.67,0.67,0.67,0.67
-1680400800,0.67,0.67,0.67,0.67
-1677808800,0.67,0.67,0.67,0.67
-1675216800,0.67,0.67,0.67,0.67
-1672538400,0.84,0.84,0.84,0.84
-1669860000,0.84,0.84,0.84,0.84
-1667440800,0.84,0.84,0.84,0.84
-1664676000,0.84,0.84,0.84,0.84
-1662170400,0.84,0.84,0.84,0.84
-1659492000,0.84,0.84,0.84,0.84
-1656813600,0.84,0.84,0.84,0.84
-1654221600,0.84,0.84,0.84,0.84
-1651370400,0.84,0.84,0.84,0.84
-1648951200,0.84,0.84,0.84,0.84
-1646272800,0.84,0.84,0.84,0.84
-1643508000,0.84,0.84,0.84,0.84
-1641002400,0.98,0.98,0.98,0.98
-1638324000,0.98,0.98,0.98,0.98
-1635904800,0.98,0.98,0.98,0.98
-1633230000,0.98,0.98,0.98,0.98
-1630638000,0.98,0.98,0.98,0.98
-1627786800,0.98,0.98,0.98,0.98
-1625367600,0.98,0.98,0.98,0.98
-1622689200,0.98,0.98,0.98,0.98
-1619924400,0.98,0.98,0.98,0.98
-1617418800,0.98,0.98,0.98,0.98
-1614736800,0.98,0.98,0.98,0.98
-1612058400,0.98,0.98,0.98,0.98
-1609466400,1.13,1.13,1.13,1.13
-1606615200,1.13,1.13,1.13,1.13
-1604196000,1.13,1.13,1.13,1.13
-1601694000,1.13,1.13,1.13,1.13
-1599102000,1.13,1.13,1.13,1.13
-1596337200,1.13,1.13,1.13,1.13
-1593831600,1.13,1.13,1.13,1.13
-1591153200,1.13,1.13,1.13,1.13
-1588474800,1.13,1.13,1.13,1.13
-1585882800,1.13,1.13,1.13,1.13
-1583028000,1.13,1.13,1.13,1.13
-1580608800,1.13,1.13,1.13,1.13
-1577930400,1.03,1.03,1.03,1.03
-1575165600,1.03,1.03,1.03,1.03
-1572746400,1.03,1.03,1.03,1.03
-1570071600,1.03,1.03,1.03,1.03
-1567306800,1.03,1.03,1.03,1.03
-1564801200,1.03,1.03,1.03,1.03
-1562209200,1.03,1.03,1.03,1.03
-1559444400,1.03,1.03,1.03,1.03
-1556852400,1.03,1.03,1.03,1.03
-1554260400,1.03,1.03,1.03,1.03
-1551578400,1.03,1.03,1.03,1.03
-1548986400,1.03,1.03,1.03,1.03
-1546135200,0.63,0.63,0.63,0.63
-1543629600,0.63,0.63,0.63,0.63
-1541210400,0.63,0.63,0.63,0.63
-1538532000,0.63,0.63,0.63,0.63
-1535857200,0.63,0.63,0.63,0.63
-1533265200,0.63,0.63,0.63,0.63
-1530673200,0.63,0.63,0.63,0.63
-1527994800,0.63,0.63,0.63,0.63
-1525316400,0.63,0.63,0.63,0.63
-1522548000,0.63,0.63,0.63,0.63
-1520042400,0.63,0.63,0.63,0.63
-1517450400,0.63,0.63,0.63,0.63
-1514685600,0.68,0.68,0.68,0.68
-1512093600,0.68,0.68,0.68,0.68
-1509674400,0.68,0.68,0.68,0.68
-1506823200,0.68,0.68,0.68,0.68
-1504407600,0.68,0.68,0.68,0.68
-1501729200,0.68,0.68,0.68,0.68
-1498964400,0.68,0.68,0.68,0.68
-1496458800,0.68,0.68,0.68,0.68
-1493780400,0.68,0.68,0.68,0.68
-1491098400,0.68,0.68,0.68,0.68
-1488506400,0.68,0.68,0.68,0.68
-1485914400,0.68,0.68,0.68,0.68
-1483236000,0.65,0.65,0.65,0.65
-1480557600,0.65,0.65,0.65,0.65
-1478138400,0.65,0.65,0.65,0.65
-1475373600,0.65,0.65,0.65,0.65
-1472871600,0.65,0.65,0.65,0.65
-1470193200,0.65,0.65,0.65,0.65
-1467514800,0.65,0.65,0.65,0.65
